Date,Inflow_ML,Outflow_ML,Reservoir_Level_ML,Rainfall_mm,Temperature_C,Humidity_percent,Demand_ML,DayOfYear,DayOfWeek,Month,Year
2005-01-01,67.2542224783387,49.43160555453406,7000.0,2.782524064880519,18.84513549042348,56.487945645762295,50.0,1,5,1,2005
2005-01-02,81.79010125310585,66.14623656209137,7032.3584956985715,6.242123891782715,17.99568421809338,68.13840065378947,63.308641356185916,2,6,1,2005
2005-01-03,43.77406857334613,60.40628042330281,7009.986327709827,1.6523236025537051,14.087523823417657,51.56568706138541,57.95318317248776,3,0,1,2005
2005-01-04,32.664824078663706,57.41662399023996,6982.2448713651875,3.675465684373205,23.519093783839928,56.61335549270196,55.96220196347742,4,1,1,2005
2005-01-05,57.274709782378906,65.15434866701108,6982.102957157326,0.0,15.530778635483866,65.63547027518509,60.229351947167444,5,2,1,2005
2005-01-06,44.829556466745466,62.94098249607199,6961.778164957061,2.0052237380993723,18.80666232615292,44.13433606566149,58.21463478950795,6,3,1,2005
2005-01-07,69.56800900295788,70.70778044855203,6968.405191463947,0.0,14.727813707346364,62.952918538036855,71.70773170432413,7,4,1,2005
2005-01-08,65.6542566204274,70.94664910397954,6963.351667635822,2.906070568408202,18.23250802046964,55.48344456616067,74.02130567733342,8,5,1,2005
2005-01-09,28.716935284170745,64.24673161855033,6921.121953816014,0.5539740282030527,19.47929129661453,33.554397669558995,64.60834892033498,9,6,1,2005
2005-01-10,57.22718582469361,61.043124790336755,6914.102408022158,2.818527031952085,16.28859535694679,69.17514433261302,57.597358695210325,10,0,1,2005
2005-01-11,78.33269391677847,61.747127300780996,6931.391977148599,4.941929660816776,15.674613335561922,55.36181436223178,62.161496423773684,11,1,1,2005
2005-01-12,59.93424887659778,65.61163851136708,6929.579098724415,5.053752081939125,14.74818280911214,42.05690063878994,67.25181886083502,12,2,1,2005
2005-01-13,75.12264387364723,71.26178976689006,6939.090104086696,7.013149936036368,19.029071974071122,50.323203680923136,68.84947476082645,13,3,1,2005
2005-01-14,64.93758390971388,63.671535177590115,6932.76589822952,7.601700892126689,9.963995550971147,72.32853756562835,62.17016105957127,14,4,1,2005
2005-01-15,54.88450117552669,78.07686559859,6923.978864227456,2.120119330931803,17.04540879562259,65.35668857267619,73.38988889783224,15,5,1,2005
2005-01-16,81.84586254974654,52.09081894863331,6927.747861178613,0.5991491648366438,15.16229908283448,52.47364434623195,51.59821913529367,16,6,1,2005
2005-01-17,76.34476312303262,73.49428004255408,6952.001805353012,3.359393446751125,17.76456437272404,74.52967485799334,68.81955813188729,17,0,1,2005
2005-01-18,38.238289747872365,62.03630335713207,6916.74581505833,1.871229137459208,18.2494747032883,63.91582908269834,64.12694024389009,18,1,1,2005
2005-01-19,54.27637916433701,54.30171659490692,6908.985890865535,1.7404542208160196,16.223016036749286,47.96584096167572,50.653474991635065,19,2,1,2005
2005-01-20,51.96219198411348,57.26661467999271,6906.646366254742,4.618190488233971,17.916152621381144,58.883311263507494,58.7573631744183,20,3,1,2005
2005-01-21,14.472980637793848,62.22556729341124,6863.852732212543,1.9942322683614149,17.21886199199692,96.94863168727929,59.12880986949485,21,4,1,2005
2005-01-22,47.601729425289776,58.645139051691736,6849.228894344421,3.8835475475559633,20.363668980335614,71.27899549030161,54.38527720680483,22,5,1,2005
2005-01-23,69.49847026805347,55.206414302707515,6860.082225560783,0.5364492968029422,18.595190766941652,92.85683438714968,53.9745034572438,23,6,1,2005
2005-01-24,30.597024912933872,52.28549087711659,6835.4728361710095,1.482892697568168,12.084467719562507,61.02844462209041,50.0,24,0,1,2005
2005-01-25,35.66330310650256,54.58639698163934,6818.850648400396,4.194247984506619,14.290985328804918,55.16907725691487,50.0,25,1,1,2005
2005-01-26,74.44256634940555,51.01037158479395,6838.706817768162,0.0,11.725059722785685,62.769507877984566,52.25880695751284,26,2,1,2005
2005-01-27,58.587953795455476,50.11583725589234,6846.284399978824,5.043887764557253,18.022602999352426,64.45477009849779,50.0,27,3,1,2005
2005-01-28,61.4301734684604,53.982919207651854,6857.598736191392,3.207624558481025,17.24779613939693,49.28472872960448,50.0,28,4,1,2005
2005-01-29,93.83510281792114,66.18788294000136,6897.450919801661,3.8700373816564824,13.358891802224818,71.80626905613678,64.4597239699105,29,5,1,2005
2005-01-30,79.66824057062023,56.296294061380436,6910.931277432281,1.2363998659332245,18.666058440248115,88.4518947398092,52.56038301434713,30,6,1,2005
2005-01-31,47.74426135675985,76.20824258577316,6902.37924472766,0.2267707936856982,15.888121645462757,65.11727962224965,75.02569752647953,31,0,1,2005
2005-02-01,63.481929022016864,57.7496170908303,6889.652931163903,5.486823933318456,15.247636592937042,100.0,55.35229626861536,32,1,2,2005
2005-02-02,65.32107057970867,58.43150218814786,6897.224384652781,0.0,12.753764482569817,67.23708622864778,63.30087785710643,33,2,2,2005
2005-02-03,45.68531045877165,48.99737194561345,6884.478192923405,5.998638607451727,17.313666572778473,58.90756631014691,50.600640647490835,34,3,2,2005
2005-02-04,41.57549235380047,52.70420737028304,6877.056313331592,0.0,16.466444971796676,41.31391831932018,50.0,35,4,2,2005
2005-02-05,59.16423021791729,53.93984988924535,6883.516336179226,3.3503051267280473,15.931718933407067,42.85544553254066,54.89977038556514,36,5,2,2005
2005-02-06,64.12590461691835,63.66191004203166,6893.7023909068985,5.087321747078922,11.559752585748933,45.93262440127316,65.0334427764721,37,6,2,2005
2005-02-07,68.97142852997423,55.51835761442614,6899.011909394841,5.367838957849569,17.17632959596383,100.0,51.00283525659313,38,0,2,2005
2005-02-08,68.43747898644037,56.71043245471083,6911.931030766855,6.998282259413999,14.626580832174756,71.38453830739901,56.1849475360993,39,1,2,2005
2005-02-09,40.3262971192103,51.04967776452264,6895.546895431355,1.3614287273734575,22.460359899898812,31.99102211112378,54.12475691415878,40,2,2,2005
2005-02-10,64.03020630688076,50.13182776719422,6908.527423973713,0.0,14.047394436327243,76.33425895451049,50.40956087848851,41,3,2,2005
2005-02-11,58.985535912895365,50.956933606817984,6917.381132119413,0.0,13.221721934975626,63.246878843729625,50.77022083626875,42,4,2,2005
2005-02-12,56.31778801417734,54.88731634057632,6922.741986526773,1.320058760178962,9.28986675438569,62.796814721541416,50.0,43,5,2,2005
2005-02-13,41.153984911688596,53.033176564077735,6909.008655097886,4.714212767073204,16.83558400670073,72.98632791255181,50.85098117424561,44,6,2,2005
2005-02-14,27.558442285595333,57.56341504084776,6883.533920819404,1.4969820888063456,20.575180754552676,66.07472566441433,57.36939373507147,45,0,2,2005
2005-02-15,34.33097371993104,52.9967122725381,6860.3014794984865,6.229379674555865,21.606363084714218,75.4869789082672,53.67680466246595,46,1,2,2005
